time,downward a,forwards a,x,y,z
0,[0.00554721],[-0.0851583],3224068.4786877763,-746172.4525157461,1042132.1249431511
0.1,[0.00558509],[-0.08575801],3224046.160817706,-745923.4750550643,1042379.3802058758
0.2,[0.00562299],[-0.08635839],3224023.8103629034,-745674.4874889526,1042626.6248859909
0.30000000000000004,[0.00566092],[-0.08695943],3224001.4273236175,-745425.489824166,1042873.8589760881
0.4,[0.00569888],[-0.08756114],3223979.011700102,-745176.482067466,1043121.0824687551
0.5,[0.00573687],[-0.0881635],3223956.563492614,-744927.4642256191,1043368.2953565753
0.6,[0.00577488],[-0.08876653],3223934.0827014116,-744678.4363053981,1043615.4976321283
0.7,[0.00581291],[-0.08937022],3223911.569326759,-744429.3983135809,1043862.6892879903
0.7999999999999999,[0.00585097],[-0.08997457],3223889.023368921,-744180.3502569518,1044109.8703167328
0.8999999999999999,[0.00588906],[-0.09057959],3223866.4448281676,-743931.2921423003,1044357.0407109238
0.9999999999999999,[0.00592717],[-0.09118526],3223843.8337047715,-743682.2239764218,1044604.200463127
1.0999999999999999,[0.00596531],[-0.09179159],3223821.1899990058,-743433.145766117,1044851.3495659024
1.2,[0.00600347],[-0.09239858],3223798.5137111517,-743184.0575181931,1045098.4880118059
1.3,[0.00604166],[-0.09300622],3223775.80484149,-742934.9592394625,1045345.6157933897
1.4000000000000001,[0.00607988],[-0.09361453],3223753.0633903053,-742685.8509367431,1045592.7329032024
1.5000000000000002,[0.00611811],[-0.09422349],3223730.289357886,-742436.7326168588,1045839.8393337879
1.6000000000000003,[0.00615638],[-0.09483311],3223707.4827445233,-742187.6042866393,1046086.9350776867
1.7000000000000004,[0.00619467],[-0.09544338],3223684.643550512,-741938.4659529191,1046334.0201274352
1.8000000000000005,[0.00623298],[-0.09605431],3223661.7717761486,-741689.3176225397,1046581.0944755661
1.9000000000000006,[0.00627132],[-0.09666589],3223638.8674217355,-741440.1593023471,1046828.1581146081
2.0000000000000004,[0.00630968],[-0.09727813],3223615.930487575,-741190.9909991937,1047075.2110370859
2.1000000000000005,[0.00634807],[-0.09789102],3223592.9609739757,-740941.8127199374,1047322.2532355206
2.2000000000000006,[0.00638648],[-0.09850456],3223569.958881248,-740692.6244714415,1047569.2847024292
2.3000000000000007,[0.00642492],[-0.09911876],3223546.924209704,-740443.4262605753,1047816.305430325
2.400000000000001,[0.00646338],[-0.0997336],3223523.856959662,-740194.2180942134,1048063.3154117172
2.500000000000001,[0.00650187],[-0.1003491],3223500.7571314415,-739944.9999792364,1048310.3146391114
2.600000000000001,[0.00654038],[-0.10096525],3223477.624725365,-739695.7719225303,1048557.3031050091
2.700000000000001,[0.00657891],[-0.10158204],3223454.45974176,-739446.5339309865,1048804.2808019086
2.800000000000001,[0.00661747],[-0.10219949],3223431.262180955,-739197.2860115028,1049051.247722303
2.9000000000000012,[0.00665605],[-0.10281758],3223408.0320432847,-738948.0281709823,1049298.2038586831
3.0000000000000013,[0.00669466],[-0.10343632],3223384.769329082,-738698.760416333,1049545.1492035352
3.1000000000000014,[0.00673328],[-0.10405571],3223361.4740386894,-738449.4827544695,1049792.0837493413
3.2000000000000015,[0.00677194],[-0.10467574],3223338.1461724476,-738200.1951923115,1050039.0074885807
3.3000000000000016,[0.00681062],[-0.10529642],3223314.7857307023,-737950.8977367847,1050285.9204137276
3.4000000000000017,[0.00684932],[-0.10591774],3223291.3927138024,-737701.5903948197,1050532.822517254
3.5000000000000018,[0.00688804],[-0.10653971],3223267.9671221008,-737452.2731733538,1050779.713791626
3.600000000000002,[0.00692679],[-0.10716232],3223244.5089559527,-737202.9460793289,1051026.594229308
3.700000000000002,[0.00696556],[-0.10778557],3223221.018215716,-736953.6091196927,1051273.4638227597
3.800000000000002,[0.00700435],[-0.10840946],3223197.494901753,-736704.2623013991,1051520.3225644366
3.900000000000002,[0.00704317],[-0.109034],3223173.9390144283,-736454.9056314068,1051767.170446791
4.000000000000002,[0.00708201],[-0.10965917],3223150.3505541114,-736205.5391166807,1052014.0074622715
4.100000000000001,[0.00712087],[-0.11028498],3223126.729521172,-735956.1627641907,1052260.8336033225
4.200000000000001,[0.00715976],[-0.11091144],3223103.0759159867,-735706.776580913,1052507.6488623852
4.300000000000001,[0.00719867],[-0.11153852],3223079.389738933,-735457.3805738286,1052754.4532318967
4.4,[0.0072376],[-0.11216625],3223055.670990392,-735207.9747499246,1053001.2467042902
4.5,[0.00727655],[-0.11279461],3223031.9196707476,-734958.5591161933,1053248.0292719956
4.6,[0.00731553],[-0.11342361],3223008.135780389,-734709.1336796329,1053494.800927439
4.699999999999999,[0.00735452],[-0.11405324],3222984.319319707,-734459.6984472472,1053741.5616630425
4.799999999999999,[0.00739355],[-0.11468351],3222960.4702890944,-734210.2534260448,1053988.3114712248
4.899999999999999,[0.00743259],[-0.11531441],3222936.58868895,-733960.7986230406,1054235.0503444006
4.999999999999998,[0.00747165],[-0.11594594],3222912.6745196753,-733711.3340452552,1054481.778274981
5.099999999999998,[0.00751074],[-0.1165781],3222888.727781673,-733461.8596997136,1054728.4952553741
5.1999999999999975,[0.00754985],[-0.11721089],3222864.7484753514,-733212.3755934477,1054975.2012779831
5.299999999999997,[0.00758898],[-0.11784432],3222840.7366011213,-732962.881733494,1055221.8963352083
5.399999999999997,[0.00762813],[-0.11847837],3222816.6921593966,-732713.3781268948,1055468.580419446
5.4999999999999964,[0.00766731],[-0.11911304],3222792.615150593,-732463.8647806977,1055715.2535230897
