time,x,y,z
0,-986681.4347486962,-3080540.0823693704,-1254656.4458998193
0.1,-986530.4406996456,-3080663.639240195,-1254471.793798618
0.2,-986379.4418136566,-3080787.1776739084,-1254287.1332543485
0.30000000000000004,-986228.438091284,-3080910.6976699014,-1254102.4642680476
0.4,-986077.429533082,-3081034.199227562,-1253917.786840751
0.5,-985926.4161396044,-3081157.6823462793,-1253733.1009734955
0.6,-985775.3979114058,-3081281.1470254445,-1253548.4066673175
0.7,-985624.3748490392,-3081404.593264445,-1253363.7039232538
0.7999999999999999,-985473.34695306,-3081528.0210626717,-1253178.9927423405
0.8999999999999999,-985322.314224021,-3081651.4304195135,-1252994.2731256145
0.9999999999999999,-985171.2766624767,-3081774.8213343592,-1252809.545074112
1.0999999999999999,-985020.2342689814,-3081898.1938065994,-1252624.8085888696
1.2,-984869.1870440884,-3082021.547835623,-1252440.063670924
1.3,-984718.1349883527,-3082144.8834208194,-1252255.3103213117
1.4000000000000001,-984567.0781023279,-3082268.200561578,-1252070.548541069
1.5000000000000002,-984416.016386568,-3082391.49925729,-1251885.7783312332
1.6000000000000003,-984264.9498416267,-3082514.7795073427,-1251700.9996928407
1.7000000000000004,-984113.8784680582,-3082638.0413111276,-1251516.2126269278
1.8000000000000005,-983962.8022664165,-3082761.2846680335,-1251331.4171345315
1.9000000000000006,-983811.721237256,-3082884.5095774503,-1251146.6132166886
2.0000000000000004,-983660.6353811304,-3083007.716038768,-1250961.8008744353
2.1000000000000005,-983509.5446985938,-3083130.9040513756,-1250776.980108809
2.2000000000000006,-983358.4491902,-3083254.0736146634,-1250592.1509208458
2.3000000000000007,-983207.3488565031,-3083377.2247280213,-1250407.3133115831
2.400000000000001,-983056.2436980568,-3083500.357390839,-1250222.4672820573
2.500000000000001,-982905.1337154155,-3083623.4716025065,-1250037.6128333057
2.600000000000001,-982754.0189091325,-3083746.567362413,-1249852.7499663644
2.700000000000001,-982602.8992797626,-3083869.644669949,-1249667.8786822706
2.800000000000001,-982451.7748278592,-3083992.703524505,-1249482.9989820612
2.9000000000000012,-982300.6455539768,-3084115.74392547,-1249298.110866773
3.0000000000000013,-982149.5114586685,-3084238.765872234,-1249113.214337443
3.1000000000000014,-981998.3725424889,-3084361.769364187,-1248928.309395108
3.2000000000000015,-981847.2288059919,-3084484.7544007204,-1248743.3960408051
3.3000000000000016,-981696.0802497317,-3084607.7209812226,-1248558.4742755713
3.4000000000000017,-981544.926874261,-3084730.6691050837,-1248373.5441004434
3.5000000000000018,-981393.7686801353,-3084853.5987716955,-1248188.6055164584
3.600000000000002,-981242.605667908,-3084976.5099804467,-1248003.6585246536
3.700000000000002,-981091.4378381325,-3085099.402730727,-1247818.7031260654
3.800000000000002,-980940.2651913628,-3085222.277021928,-1247633.7393217315
3.900000000000002,-980789.0877281534,-3085345.1328534395,-1247448.7671126884
4.000000000000002,-980637.905449058,-3085467.9702246515,-1247263.7864999739
4.100000000000001,-980486.7183546299,-3085590.7891349546,-1247078.7974846244
4.200000000000001,-980335.5264454241,-3085713.5895837382,-1246893.8000676776
4.300000000000001,-980184.3297219937,-3085836.3715703934,-1246708.7942501702
4.4,-980033.1281848924,-3085959.1350943106,-1246523.7800331395
4.5,-979881.9218346745,-3086081.88015488,-1246338.7574176227
4.6,-979730.710671894,-3086204.6067514922,-1246153.7264046571
4.699999999999999,-979579.4946971048,-3086327.3148835367,-1245968.68699528
4.799999999999999,-979428.2739108605,-3086450.0045504053,-1245783.6391905283
4.899999999999999,-979277.0483137153,-3086572.6757514873,-1245598.5829914394
4.999999999999998,-979125.8179062225,-3086695.328486174,-1245413.5183990507
5.099999999999998,-978974.5826889361,-3086817.962753855,-1245228.4454143995
5.1999999999999975,-978823.3426624105,-3086940.578553922,-1245043.3640385228
5.299999999999997,-978672.0978271987,-3087063.175885765,-1244858.2742724582
5.399999999999997,-978520.8481838552,-3087185.754748775,-1244673.1761172428
5.4999999999999964,-978369.5937329329,-3087308.315142342,-1244488.0695739142
5.599999999999996,-978218.3344749871,-3087430.857065857,-1244302.95464351
5.699999999999996,-978067.0704105708,-3087553.3805187107,-1244117.831327067
5.799999999999995,-977915.8015402382,-3087675.885500294,-1243932.6996256232
5.899999999999995,-977764.5278645424,-3087798.372009997,-1243747.5595402159
5.999999999999995,-977613.2493840377,-3087920.8400472105,-1243562.4110718821
6.099999999999994,-977461.9660992782,-3088043.289611326,-1243377.2542216599
6.199999999999994,-977310.6780108177,-3088165.720701734,-1243192.0889905866
6.299999999999994,-977159.3851192096,-3088288.1333178245,-1243006.9153796993
6.399999999999993,-977008.0874250078,-3088410.5274589895,-1242821.7333900363
6.499999999999993,-976856.7849287662,-3088532.9031246197,-1242636.5430226345
6.5999999999999925,-976705.4776310379,-3088655.2603141055,-1242451.3442785318
6.699999999999992,-976554.1655323777,-3088777.5990268383,-1242266.1371587657
6.799999999999992,-976402.848633339,-3088899.919262209,-1242080.9216643737
6.8999999999999915,-976251.5269344754,-3089022.2210196084,-1241895.6977963937
6.999999999999991,-976100.2004363411,-3089144.504298427,-1241710.465555863
7.099999999999991,-975948.8691394896,-3089266.769098057,-1241525.2249438195
7.19999999999999,-975797.5330444747,-3089389.0154178897,-1241339.9759613008
7.29999999999999,-975646.1921518496,-3089511.243257314,-1241154.7186093444
7.39999999999999,-975494.8464621691,-3089633.452615723,-1240969.4528889884
7.499999999999989,-975343.4959759861,-3089755.6434925077,-1240784.1788012704
7.599999999999989,-975192.140693855,-3089877.815887058,-1240598.8963472282
7.699999999999989,-975040.7806163294,-3089999.969798766,-1240413.6055278995
7.799999999999988,-974889.4157439631,-3090122.1052270234,-1240228.3063443222
7.899999999999988,-974738.0460773091,-3090244.2221712205,-1240042.998797534
7.999999999999988,-974586.6716169219,-3090366.3206307488,-1239857.6828885726
8.099999999999987,-974435.2923633549,-3090488.400604999,-1239672.3586184762
8.199999999999987,-974283.9083171622,-3090610.4620933644,-1239487.0259882824
8.299999999999986,-974132.5194788972,-3090732.5050952346,-1239301.6849990292
8.399999999999986,-973981.1258491133,-3090854.5296100015,-1239116.3356517546
8.499999999999986,-973829.727428365,-3090976.535637056,-1238930.9779474963
8.599999999999985,-973678.3242172052,-3091098.52317579,-1238745.6118872925
8.699999999999985,-973526.9162161885,-3091220.4922255953,-1238560.2374721807
8.799999999999985,-973375.5034258681,-3091342.442785863,-1238374.8547031998
8.899999999999984,-973224.0858467976,-3091464.3748559845,-1238189.4635813867
8.999999999999984,-973072.6634795307,-3091586.2884353516,-1238004.0641077799
9.099999999999984,-972921.2363246211,-3091708.183523355,-1237818.656283418
9.199999999999983,-972769.8043826222,-3091830.0601193877,-1237633.240109338
9.299999999999983,-972618.3676540887,-3091951.9182228404,-1237447.8155865788
9.399999999999983,-972466.9261395735,-3092073.757833104,-1237262.382716178
9.499999999999982,-972315.4798396305,-3092195.578949572,-1237076.9414991739
9.599999999999982,-972164.0287548131,-3092317.381571634,-1236891.4919366047
9.699999999999982,-972012.5728856755,-3092439.165698684,-1236706.0340295087
9.799999999999981,-971861.1122327707,-3092560.9313301127,-1236520.5677789238
9.89999999999998,-971709.6467966527,-3092682.6784653105,-1236335.0931858881
9.99999999999998,-971558.1765778746,-3092804.4071036708,-1236149.61025144
10.09999999999998,-971406.7015769908,-3092926.117244585,-1235964.1189766177
10.19999999999998,-971255.221794555,-3093047.808887445,-1235778.6193624595
10.29999999999998,-971103.7372311204,-3093169.482031642,-1235593.1114100039
10.399999999999979,-970952.2478872408,-3093291.1366765685,-1235407.5951202887
10.499999999999979,-970800.75376347,-3093412.772821617,-1235222.0704943521
10.599999999999978,-970649.2548603611,-3093534.3904661783,-1235036.537533233
10.699999999999978,-970497.751178468,-3093655.9896096447,-1234850.9962379693
10.799999999999978,-970346.2427183448,-3093777.570251408,-1234665.4466095997
10.899999999999977,-970194.7294805448,-3093899.1323908614,-1234479.8886491624
10.999999999999977,-970043.211465621,-3094020.676027395,-1234294.3223576958
11.099999999999977,-969891.6886741281,-3094142.201160403,-1234108.7477362382
11.199999999999976,-969740.1611066187,-3094263.707789276,-1233923.1647858282
