Node Number;X Location (m);Y Location (m);Z Location (m)
184;-1.5238;-1.3291;6.3509
185;-1.4448;-1.1926;7.9795
186;-1.1005;-3.6424;5.19
187;-0.24663;-3.797;3.3122
188;-1.1485;-1.5167;1.782
189;-1.2895;-1.5392;4.4669
190;1.3011;-3.5756;8.5539
191;1.7059;-3.4012;6.7413
192;1.0874;-3.6463;4.9382
193;-2.45E-02;-1.9214;6.093
194;5.45E-02;-1.7848;7.7216
195;2.6009;-2.7773;8.4791
196;1.1047;-1.47;11.568
197;1.069;-1.4157;9.4593
198;2.4321;-2.9262;4.8635
199;1.3113;-1.2514;6.0182
200;1.3902;-1.1148;7.6468
201;0.94264;-1.6526;1.5302
202;0.80165;-1.675;4.2151
203;2.1087;3.1672;10.396
204;1.9205;3.2848;8.7809
205;0.34798;3.7891;8.5229
206;-0.74147;3.7321;10.261
207;0.43396;1.9057;11.537
208;0.39828;1.96;9.4283
209;2.9133;2.4476;8.9473
210;1.4991;1.1965;11.703
211;1.4635;1.2509;9.5948
212;2.5401;2.833;5.4481
213;1.3981;3.5388;7.0742
214;1.2418;1.2842;6.351
215;1.3208;1.4207;7.9796
216;1.1006;3.6423;5.1901
217;0.24673;3.797;3.3122
218;1.1485;1.5167;1.782
219;1.0076;1.4943;4.467
220;-1.3009;3.5757;8.5539
221;-1.7058;3.4012;6.7414
222;-1.0873;3.6463;4.9383
223;-0.25742;1.8765;6.093
224;-0.17851;2.013;7.7216
225;-2.6008;2.7774;8.4792
226;-1.1574;1.5896;11.568
227;-1.1931;1.6439;9.4594
228;-2.4321;2.9263;4.8635
229;-1.5933;1.2065;6.0182
230;-1.5144;1.343;7.6469
231;-0.94261;1.6526;1.5302
232;-1.0836;1.6301;4.2151
233;-0.14099;-2.24E-02;2.6849
234;-8.85E-02;0.17385;10.735
235;-0.20306;9.16E-02;6.9985
