Node Number;X Location (m);Y Location (m);Z Location (m)
276;1.0991;-2.3574;-10.576
277;0.99754;-2.5371;-10.516
278;0.89756;-2.4687;-10.496
279;0.79601;-2.401;-10.518
280;0.89932;-2.3574;-10.576
281;0.79521;-2.5371;-10.516
282;0.69366;-2.4687;-10.496
283;0.5968;-2.401;-10.518
284;0.69352;-2.3574;-10.576
285;0.59686;-2.5371;-10.516
286;0.5;-2.3574;-10.576
287;0.5;-2.4687;-10.496
288;0.59673;-2.3554;-10.649
289;0.5;-2.3755;-10.719
290;1.4018;-2.3554;-10.649
291;1.5047;-2.3755;-10.719
292;1.199;-2.3554;-10.649
293;1.2991;-2.3755;-10.719
294;0.99975;-2.3554;-10.649
295;1.0998;-2.3755;-10.719
296;0.79683;-2.3554;-10.649
297;0.90052;-2.3755;-10.719
298;0.69418;-2.3755;-10.719
299;1.5041;-2.4244;-10.889
300;1.4022;-2.4533;-10.989
301;1.402;-2.3956;-10.789
302;1.3002;-2.4244;-10.889
303;1.2014;-2.4533;-10.989
304;1.2;-2.3956;-10.789
305;1.1012;-2.4244;-10.889
306;1.0018;-2.4533;-10.989
307;1.0006;-2.3956;-10.789
308;0.90126;-2.4244;-10.889
309;0.79933;-2.4533;-10.989
310;0.79786;-2.3956;-10.789
311;0.69593;-2.4244;-10.889
312;0.59848;-2.4533;-10.989
313;0.59745;-2.3956;-10.789
314;0.5;-2.4244;-10.889
15;-0.5;-2.5907;-10.754
16;-0.5;-2.5907;-10.968
17;-0.5;-2.3752;-10.543
18;-0.5;-2.4696;-10.496
19;-0.5;-2.5907;-10.616
20;-0.5;-2.5597;-10.535
21;-0.5;-2.3554;-10.649
22;-0.5;-2.3962;-10.791
23;-0.5;-2.4559;-10.998
24;-0.5;-2.5907;-11.466
85;-1.5049;-2.4559;-10.998
86;-1.302;-2.4559;-10.998
87;-1.1024;-2.4559;-10.998
88;-0.90283;-2.4559;-10.998
89;-0.69733;-2.4559;-10.998
90;-1.5066;-2.3962;-10.791
91;-1.302;-2.3962;-10.791
92;-1.1021;-2.3962;-10.791
93;-0.90323;-2.3962;-10.791
94;-0.69572;-2.3962;-10.791
95;-1.7;-2.4559;-10.998
96;-1.7;-2.3962;-10.791
97;-0.70096;-2.5907;-11.466
98;-0.90193;-2.5907;-11.466
99;-1.1029;-2.5907;-11.466
100;-1.3019;-2.5907;-11.466
101;-1.501;-2.5907;-11.466
102;-1.7;-2.5907;-11.466
103;-1.7;-2.3554;-10.649
104;-1.5078;-2.3554;-10.649
105;-1.302;-2.3554;-10.649
106;-1.102;-2.3554;-10.649
107;-0.90351;-2.3554;-10.649
108;-0.69462;-2.3554;-10.649
109;-0.69446;-2.3752;-10.543
110;-0.69431;-2.4696;-10.496
111;-0.69417;-2.5597;-10.535
112;-0.90132;-2.3752;-10.543
113;-0.89918;-2.4696;-10.496
114;-0.8972;-2.5597;-10.535
115;-1.1009;-2.3752;-10.543
116;-1.1;-2.4696;-10.496
117;-1.099;-2.5597;-10.535
118;-1.3017;-2.3752;-10.543
119;-1.3015;-2.4696;-10.496
120;-1.3012;-2.5597;-10.535
121;-1.5066;-2.3752;-10.543
122;-1.5055;-2.4696;-10.496
123;-1.5044;-2.5597;-10.535
124;-1.7;-2.3752;-10.543
125;-1.7;-2.4696;-10.496
126;-1.7;-2.5597;-10.535
127;-1.7;-2.5907;-10.616
128;-0.69405;-2.5907;-10.616
129;-0.89547;-2.5907;-10.616
130;-1.0982;-2.5907;-10.616
131;-1.301;-2.5907;-10.616
132;-1.5035;-2.5907;-10.616
133;-1.5031;-2.5907;-10.754
134;-1.3012;-2.5907;-10.754
135;-1.099;-2.5907;-10.754
136;-0.89652;-2.5907;-10.754
137;-0.69517;-2.5907;-10.754
138;-1.5024;-2.5907;-10.968
139;-1.3014;-2.5907;-10.968
140;-1.1002;-2.5907;-10.968
141;-0.89814;-2.5907;-10.968
142;-0.69691;-2.5907;-10.968
143;-1.7;-2.5907;-10.754
144;-1.7;-2.5907;-10.968
