Node Number;X Location (m);Y Location (m);Z Location (m)
183;-1.6783;-3.4149;11.262
184;0.14282;-3.8023;11.336
185;2.0042;-3.2344;11.359
186;3.3109;-1.8751;11.062
187;3.1666;-2.1097;4.2186
188;3.4055;-1.6972;5.433
189;3.4173;-1.6734;7.0949
190;3.3889;-1.7302;8.707
191;-3.342;-1.8192;3.7195
192;-3.2614;-1.96;5.8152
193;-3.2158;-2.0339;8.0039
194;-1.0941;-3.6443;2.2497
195;2.8395;-2.5328;11.006
196;2.8463;-2.5252;2.9913
197;3.1507;-2.1333;10.004
198;-2.9748;-2.3725;4.4431
199;-2.9989;-2.342;6.6679
200;-2.9959;-2.3457;9.2204
201;-2.7426;-2.6375;10.59
202;-2.2981;-3.0326;3.1147
203;-0.49208;-3.773;2.7426
204;0.49443;-3.7727;2.9752
205;-1.1064;-3.6406;10.244
206;0.71403;-3.7374;10.571
207;2.3323;-3.0064;10.083
208;2.7847;-2.593;5.2782
209;2.8268;-2.547;8.6622
210;-2.8178;-2.557;5.4595
211;-2.6903;-2.6908;7.7115
212;-1.4081;-3.5349;3.3916
213;1.5466;-3.4765;3.5654
214;2.8325;-2.5407;6.9606
215;-2.2951;-3.0349;4.4978
216;-2.0541;-3.2029;6.0865
217;-2.1953;-3.1078;9.2967
218;-0.54746;-3.7654;3.5224
219;0.25214;-3.7966;4.0378
220;-0.45664;-3.7775;9.3552
221;1.1892;-3.6144;9.4713
222;2.0603;-3.1989;4.536
223;2.0714;-3.1918;8.9482
224;-1.8081;-3.348;7.4721
225;-2.1423;-3.1446;8.2072
226;-1.2623;-3.5895;4.4844
227;1.2182;-3.6047;4.5544
228;1.7841;-3.3608;5.8198
229;2.117;-3.1617;7.7103
230;-1.0929;-3.6447;6.694
231;-1.5101;-3.4925;8.4408
232;9.85E-02;-3.8037;5.2308
233;0.40115;-3.7838;8.2935
234;1.449;-3.5183;8.4135
235;-0.99105;-3.6737;5.705
236;-0.79149;-3.7218;7.8729
237;1.0632;-3.6534;7.255
238;-8.56E-02;-3.804;7.0405
239;0.55996;-3.7636;6.2524
240;3.6678;1.0126;1.4309
241;3.6817;0.96095;3.4219
242;3.6932;0.91546;5.2825
243;3.6932;0.91546;7.169
244;3.7035;0.87297;8.9605
245;3.6537;1.0623;11.067
246;-3.6518;1.0689;1.3389
247;-3.7111;0.83989;3.3922
248;-3.7542;0.61985;5.3791
249;-3.7329;0.73733;7.168
250;-3.7566;0.60495;9.1275
251;-3.6398;1.1091;11.152
252;3.16;2.1196;0.94812
253;2.4869;2.8798;1.1033
254;1.4561;3.5154;0.88267
255;-0.68875;3.7421;0.68055
256;-2.1629;3.1305;0.86933
257;-2.9246;2.434;1.0169
258;3.4092;1.6897;12.269
259;2.0815;3.1852;12.468
260;0.28455;3.7943;12.542
261;-1.6705;3.4187;12.521
262;-3.2858;1.9187;12.304
263;3.6779;0.97539;2.4457
264;-3.6797;0.96831;2.4202
265;-3.6222;1.1653;4.6076
266;-3.6422;1.101;6.1532
267;-3.6422;1.101;8.0397
268;-3.6471;1.0847;9.585
269;0.59912;3.7575;1.1934
270;-1.4311;3.5256;1.0725
271;2.9551;2.3969;11.875
272;1.2613;3.5899;12.209
273;-0.59271;3.7586;12.129
274;-2.4102;2.9443;11.999
275;3.3169;1.8644;2.1003
276;3.5298;1.4209;4.1477
277;3.5063;1.4778;6.0048
278;3.5078;1.4743;7.769
279;3.4711;1.5588;9.7079
280;-3.2964;1.9005;2.3003
281;-3.385;1.7378;3.4968
282;-3.1698;2.1048;10.084
283;-0.30253;3.793;1.8175
284;-1.9976;3.2385;2.1286
285;2.0479;3.2069;11.306
286;0.78015;3.7242;11.523
287;-1.3614;3.5531;11.607
288;-2.9986;2.3424;11.258
289;3.1907;2.073;3.43
290;3.3311;1.839;4.7946
291;3.3102;1.8764;7.0417
292;3.3224;1.8547;8.4089
293;3.0564;2.2664;10.536
294;-3.143;2.1447;4.2576
295;-3.4262;1.6551;5.269
296;-3.4141;1.6798;7.0539
297;-3.4534;1.5976;8.8443
298;2.4913;2.876;2.2557
299;1.2103;3.6074;2.2382
300;-7.95E-02;3.8042;11.14
301;-2.2239;3.0874;10.93
302;3.0762;2.2394;5.5781
303;3.0176;2.3177;9.145
304;-2.8387;2.5337;2.9915
305;-3.0421;2.2856;8.9716
306;0.38775;3.7852;2.7817
307;-0.56975;3.7621;2.8166
308;2.3978;2.9544;10.021
309;1.2496;3.5939;10.589
310;-0.89337;3.6986;10.642
311;2.3283;3.0095;3.4901
312;2.9277;2.4303;4.4197
313;2.706;2.675;6.6862
314;3.0246;2.3087;7.676
315;-2.4657;2.898;3.905
316;-2.6997;2.6813;5.3566
317;-3.1626;2.1157;6.1027
318;-3.1587;2.1215;8.0477
319;-2.5425;2.8308;9.5594
320;1.2746;3.5852;3.2531
321;-1.3945;3.5403;3.5457
322;0.35521;3.7884;10.35
323;-1.5715;3.4653;9.8369
324;2.5065;2.8628;5.0352
325;2.6083;2.7703;8.4992
326;-2.8693;2.499;6.9097
327;-2.6831;2.698;8.2744
328;0.23202;3.7979;3.7154
329;1.416;3.5317;9.6071
330;-5.73E-02;3.8046;9.4749
331;2.0278;3.2196;5.829
332;-1.8549;3.3223;4.5554
333;-1.9897;3.2433;8.6878
334;1.62;3.4429;4.3219
335;-0.56903;3.7622;4.3869
336;-1.0821;3.6479;8.9171
337;2.2233;3.0879;7.3943
338;1.3236;3.5674;8.507
339;-1.9024;3.2953;5.5656
340;-2.2213;3.0893;6.3587
341;-2.135;3.1496;7.4342
342;0.81447;3.7168;4.9018
343;-7.64E-02;3.8042;8.3956
344;-1.0669;3.6524;5.3156
345;-1.2821;3.5825;7.903
346;-5.28E-02;3.8046;5.2751
347;1.063;3.6535;7.4504
348;0.90796;3.6951;6.0989
349;-1.3185;3.5693;6.5272
350;-0.3673;3.7872;7.403
351;0;0;0
352;-1.5477;-1.5477;0
353;-1.5477;1.5477;0
354;1.5477;-1.5477;0
355;1.5477;1.5477;0
356;4.44E-17;1.6449;0
357;1.6449;-3.31E-17;0
358;4.44E-17;-1.6449;0
359;-1.6449;5.57E-17;0
360;3.7724;0.49665;0
361;3.7724;-0.49665;0
362;3.805;-1.54E-16;0.47161
363;2.725;-1.65E-17;0
364;-3.7724;0.49665;0
365;-3.7724;-0.49665;0
366;-3.805;4.66E-16;0.47161
367;-2.725;2.61E-16;0
368;3.5154;1.4561;0
369;3.7724;0.49665;0.47161
370;3.6716;0.99869;0.71545
371;2.6115;1.2662;0
372;2.6601;0.4924;0
373;3.0187;2.3163;0
374;3.5098;1.4694;0.71545
375;3.2294;2.0122;0.47406
376;2.4215;1.7251;0
377;2.3163;3.0187;0
378;2.9392;2.4165;0.47406
379;2.5905;2.787;0.55167
380;2.1191;2.1191;0
381;1.4561;3.5154;0
382;2.2045;3.1013;0.55167
383;1.6829;3.4126;0.44133
384;1.7251;2.4215;0
385;0.49665;3.7724;0
386;1.2231;3.6031;0.44133
387;0.79303;3.7214;0.59669
388;1.2662;2.6115;0
389;0.4924;2.6601;0
390;-0.49665;3.7724;0
391;-0.34581;3.7893;0.34027
392;0.3005;3.7931;0.59669
393;1.39E-16;2.725;0
394;-1.4561;3.5154;0
395;-0.83745;3.7117;0.34027
396;-1.2103;3.6074;0.53623
397;-1.2662;2.6115;0
398;-0.4924;2.6601;0
399;-2.3163;3.0187;0
400;-2.0344;3.2155;0.43467
401;-1.6708;3.4185;0.53623
402;-1.7251;2.4215;0
403;-3.0187;2.3163;0
404;-2.4367;2.9224;0.43467
405;-2.8105;2.565;0.50846
406;-2.1191;2.1191;0
407;-3.5154;1.4561;0
408;-3.4984;1.4964;0.66946
409;-3.1213;2.1762;0.50846
410;-2.4215;1.7251;0
411;-3.7724;0.49665;0.47161
412;-3.6638;1.0269;0.66946
413;-2.6115;1.2662;0
414;-2.6601;0.4924;0
415;-3.5154;-1.4561;0
416;-3.7724;-0.49665;0.47161
417;-3.5624;-1.3369;0.38884
418;-2.6115;-1.2662;0
419;-2.6601;-0.4924;0
420;-3.0187;-2.3163;0
421;-3.3574;-1.7904;0.38884
422;-3.1824;-2.0858;0.57352
423;-2.4215;-1.7251;0
424;-2.3163;-3.0187;0
425;-2.5337;-2.8387;0.5283
426;-2.8829;-2.4833;0.57352
427;-2.1191;-2.1191;0
428;-1.4561;-3.5154;0
429;-2.1415;-3.1451;0.5283
430;-1.6431;-3.4319;0.37432
431;-1.7251;-2.4215;0
432;-0.49665;-3.7724;0
433;-1.1811;-3.617;0.37432
434;-0.80376;-3.7191;0.59305
435;-1.2662;-2.6115;0
436;-0.4924;-2.6601;0
437;0.49665;-3.7724;0
438;0.34289;-3.7895;0.3378
439;-0.31144;-3.7922;0.59305
440;1.39E-16;-2.725;0
441;1.4561;-3.5154;0
442;0.83458;-3.7123;0.3378
443;1.2103;-3.6074;0.53623
444;1.2662;-2.6115;0
445;0.4924;-2.6601;0
446;2.3163;-3.0187;0
447;2.0344;-3.2155;0.43455
448;1.6708;-3.4185;0.53623
449;1.7251;-2.4215;0
450;3.0187;-2.3163;0
451;2.4367;-2.9225;0.43455
452;2.8105;-2.565;0.50834
453;2.1191;-2.1191;0
454;3.5154;-1.4561;0
455;3.4984;-1.4964;0.66946
456;3.1213;-2.1762;0.50834
457;2.4215;-1.7251;0
458;3.7724;-0.49665;0.47161
459;3.6638;-1.0269;0.66946
460;2.6115;-1.2662;0
461;2.6601;-0.4924;0
462;3.805;-4.16E-15;12.733
463;3.7724;0.49665;13.205
464;3.7724;-0.49665;13.205
465;3.7724;-6.09E-15;13.702
466;3.805;-4.62E-16;1.4148
467;3.7665;-0.53991;1.1411
468;3.7705;0.5109;1.1871
469;3.805;-7.70E-16;2.358
470;3.7665;-0.53991;1.6127
471;3.7705;0.5109;1.6587
472;3.7731;0.49182;2.1661
473;3.805;-1.08E-15;3.3013
474;3.7665;-0.53991;2.0843
475;3.7815;-0.42254;3.1109
476;3.774;0.48442;3.1258
477;3.7731;0.49182;2.6377
478;3.805;-1.39E-15;4.2445
479;3.7815;-0.42254;3.5825
480;3.759;-0.58978;4.1902
481;3.774;0.48442;3.5974
482;3.7356;0.72364;3.9603
483;3.805;-1.69E-15;5.1877
484;3.7923;-0.31097;5.0476
485;3.759;-0.58978;4.6618
486;3.777;0.46113;4.9993
487;3.7356;0.72364;4.4319
488;3.805;-2.00E-15;6.1309
489;3.7923;-0.31097;5.5192
