Node Number;X Location (m);Y Location (m);Z Location (m)
125;1.7858;-2.4959;-7.6031
126;0.89499;-2.9356;-7.6031
127;1.7893;-2.4934;-6.7304
128;0.90132;-2.9337;-6.7304
129;1.7927;-2.4909;-5.8577
130;0.90764;-2.9317;-5.8577
131;1.7962;-2.4884;-4.9849
132;0.91397;-2.9297;-4.9849
133;1.7997;-2.4859;-4.1122
134;0.92028;-2.9278;-4.1122
135;1.8031;-2.4834;-3.2395
136;0.9266;-2.9258;-3.2395
137;1.8066;-2.4809;-2.3668
138;0.9329;-2.9238;-2.3668
139;1.8101;-2.4784;-1.494
140;0.93921;-2.9218;-1.494
141;1.8135;-2.4759;-0.62131
142;0.94551;-2.9197;-0.62131
143;1.817;-2.4733;0.25142
144;0.9518;-2.9177;0.25142
145;1.8204;-2.4708;1.1241
146;0.9581;-2.9156;1.1241
147;1.7823;-2.4984;-8.4759
148;0.88865;-2.9375;-8.4759
149;2.4937;-1.789;-8.4759
150;2.4937;-1.789;-7.6031
151;2.4937;-1.789;-6.7304
152;2.4937;-1.789;-5.8577
153;2.4937;-1.789;-4.9849
154;2.4937;-1.789;-4.1122
155;2.4937;-1.789;-3.2395
156;2.4937;-1.789;-2.3668
157;2.4937;-1.789;-1.494
158;2.4937;-1.789;-0.62131
159;2.4937;-1.789;0.25142
160;2.4937;-1.789;1.1241
161;-7.95E-16;-3.069;-8.4759
162;-7.95E-16;-3.069;-7.6031
163;-7.95E-16;-3.069;-6.7304
164;-7.95E-16;-3.069;-5.8577
165;-7.95E-16;-3.069;-4.9849
166;-7.95E-16;-3.069;-4.1122
167;-7.95E-16;-3.069;-3.2395
168;-7.95E-16;-3.069;-2.3668
169;-7.95E-16;-3.069;-1.494
170;-7.95E-16;-3.069;-0.62131
171;-7.95E-16;-3.069;0.25142
172;-7.95E-16;-3.069;1.1241
173;-1.7726;-2.5053;0.25142
174;-0.92488;-2.9263;0.25142
175;-1.7343;-2.532;-0.62131
176;-0.90326;-2.9331;-0.62131
177;-1.6956;-2.5581;-1.494
178;-0.8816;-2.9397;-1.494
179;-1.6565;-2.5836;-2.3668
180;-0.85989;-2.9461;-2.3668
181;-1.617;-2.6085;-3.2395
182;-0.83813;-2.9523;-3.2395
183;-1.5771;-2.6328;-4.1122
184;-0.81633;-2.9584;-4.1122
185;-1.5369;-2.6564;-4.9849
186;-0.79448;-2.9644;-4.9849
187;-1.4963;-2.6795;-5.8577
188;-0.77259;-2.9702;-5.8577
189;-1.4554;-2.702;-6.7304
190;-0.75066;-2.9758;-6.7304
191;-1.4141;-2.7238;-7.6031
192;-0.72868;-2.9812;-7.6031
193;-0.94644;-2.9194;1.1241
194;-1.8105;-2.478;1.1241
195;-0.70667;-2.9865;-8.4759
196;-1.3725;-2.745;-8.4759
197;-2.4937;-1.789;-8.4759
198;-2.4937;-1.789;-7.6031
199;-2.4937;-1.789;-6.7304
200;-2.4937;-1.789;-5.8577
201;-2.4937;-1.789;-4.9849
202;-2.4937;-1.789;-4.1122
203;-2.4937;-1.789;-3.2395
204;-2.4937;-1.789;-2.3668
205;-2.4937;-1.789;-1.494
206;-2.4937;-1.789;-0.62131
207;-2.4937;-1.789;0.25142
208;-2.4937;-1.789;1.1241
209;2.5385;-1.7248;-8.4759
210;2.5385;-1.7248;-7.6031
211;2.5385;-1.7248;-6.7304
212;2.5385;-1.7248;-5.8577
213;2.5385;-1.7248;-4.9849
214;2.5385;-1.7248;-4.1122
215;2.5385;-1.7248;-3.2395
216;2.5385;-1.7248;-2.3668
217;2.5385;-1.7248;-1.494
218;2.5385;-1.7248;-0.62131
219;2.5385;-1.7248;0.25142
220;2.5385;-1.7248;1.1241
221;-2.5163;-1.757;0.25142
222;-2.5163;-1.757;-0.62131
223;-2.5163;-1.757;-1.494
224;-2.5163;-1.757;-2.3668
225;-2.5163;-1.757;-3.2395
226;-2.5163;-1.757;-4.1122
227;-2.5163;-1.757;-4.9849
228;-2.5163;-1.757;-5.8577
229;-2.5163;-1.757;-6.7304
230;-2.5163;-1.757;-7.6031
231;-2.5163;-1.757;1.1241
232;-2.5163;-1.757;-8.4759
233;-2.5385;-1.7248;-8.4759
234;-2.5385;-1.7248;-7.6031
235;-2.5385;-1.7248;-6.7304
236;-2.5385;-1.7248;-5.8577
237;-2.5385;-1.7248;-4.9849
238;-2.5385;-1.7248;-4.1122
239;-2.5385;-1.7248;-3.2395
240;-2.5385;-1.7248;-2.3668
241;-2.5385;-1.7248;-1.494
242;-2.5385;-1.7248;-0.62131
243;-2.5385;-1.7248;0.25142
244;-2.5385;-1.7248;1.1241
245;2.6093;-1.6156;-8.4759
246;2.6093;-1.6156;-7.6031
247;2.6093;-1.6156;-6.7304
248;2.6093;-1.6156;-5.8577
249;2.6093;-1.6156;-4.9849
250;2.6093;-1.6156;-4.1122
251;2.6093;-1.6156;-3.2395
252;2.6093;-1.6156;-2.3668
253;2.6093;-1.6156;-1.494
254;2.6093;-1.6156;-0.62131
255;2.6093;-1.6156;0.25142
256;2.6093;-1.6156;1.1241
257;-2.6093;-1.6156;-8.4759
258;-2.6093;-1.6156;-7.6031
259;-2.6093;-1.6156;-6.7304
260;-2.6093;-1.6156;-5.8577
261;-2.6093;-1.6156;-4.9849
262;-2.6093;-1.6156;-4.1122
263;-2.6093;-1.6156;-3.2395
264;-2.6093;-1.6156;-2.3668
265;-2.6093;-1.6156;-1.494
266;-2.6093;-1.6156;-0.62131
267;-2.6093;-1.6156;0.25142
268;-2.6093;-1.6156;1.1241
269;2.6607;-1.5295;-8.4759
270;2.6607;-1.5295;-7.6031
271;2.6607;-1.5295;-6.7304
272;2.6607;-1.5295;-5.8577
273;2.6607;-1.5295;-4.9849
274;2.6607;-1.5295;-4.1122
275;2.6607;-1.5295;-3.2395
276;2.6607;-1.5295;-2.3668
277;2.6607;-1.5295;-1.494
278;2.6607;-1.5295;-0.62131
279;2.6607;-1.5295;0.25142
280;2.6607;-1.5295;1.1241
281;-2.6607;-1.5295;-8.4759
282;-2.6607;-1.5295;-7.6031
283;-2.6607;-1.5295;-6.7304
284;-2.6607;-1.5295;-5.8577
285;-2.6607;-1.5295;-4.9849
286;-2.6607;-1.5295;-4.1122
287;-2.6607;-1.5295;-3.2395
288;-2.6607;-1.5295;-2.3668
289;-2.6607;-1.5295;-1.494
290;-2.6607;-1.5295;-0.62131
291;-2.6607;-1.5295;0.25142
292;-2.6607;-1.5295;1.1241
293;2.8243;-1.2008;-7.6031
294;2.8311;-1.1847;-6.7304
295;2.8378;-1.1686;-5.8577
296;2.8444;-1.1524;-4.9849
297;2.8509;-1.1363;-4.1122
298;2.8573;-1.1201;-3.2395
299;2.8636;-1.1038;-2.3668
300;2.8699;-1.0875;-1.494
301;2.876;-1.0712;-0.62131
302;2.882;-1.0548;0.25142
303;2.888;-1.0384;1.1241
304;2.8175;-1.2168;-8.4759
305;3.0255;-0.51512;-8.4759
306;3.0255;-0.51512;-7.6031
307;3.0255;-0.51512;-6.7304
308;3.0255;-0.51512;-5.8577
309;3.0255;-0.51512;-4.9849
310;3.0255;-0.51512;-4.1122
311;3.0255;-0.51512;-3.2395
312;3.0255;-0.51512;-2.3668
313;3.0255;-0.51512;-1.494
314;3.0255;-0.51512;-0.62131
315;3.0255;-0.51512;0.25142
316;3.0255;-0.51512;1.1241
317;-2.898;-1.0102;0.25142
318;-2.9077;-0.98186;-0.62131
319;-2.9171;-0.95343;-1.494
320;-2.9263;-0.9249;-2.3668
321;-2.9352;-0.89629;-3.2395
322;-2.9438;-0.8676;-4.1122
323;-2.9521;-0.83882;-4.9849
324;-2.9602;-0.80996;-5.8577
325;-2.968;-0.78103;-6.7304
326;-2.9754;-0.75202;-7.6031
327;-2.888;-1.0384;1.1241
328;-2.9826;-0.72293;-8.4759
329;-3.0255;-0.51512;-8.4759
330;-3.0255;-0.51512;-7.6031
331;-3.0255;-0.51512;-6.7304
332;-3.0255;-0.51512;-5.8577
333;-3.0255;-0.51512;-4.9849
334;-3.0255;-0.51512;-4.1122
335;-3.0255;-0.51512;-3.2395
336;-3.0255;-0.51512;-2.3668
337;-3.0255;-0.51512;-1.494
338;-3.0255;-0.51512;-0.62131
339;-3.0255;-0.51512;0.25142
340;-3.0255;-0.51512;1.1241
341;3.069;-2.76E-08;-8.4759
342;3.069;-2.76E-08;-7.6031
343;3.069;-2.76E-08;-6.7304
344;3.069;-2.76E-08;-5.8577
345;3.069;-2.76E-08;-4.9849
346;3.069;-2.76E-08;-4.1122
347;3.069;-2.76E-08;-3.2395
348;3.069;-2.76E-08;-2.3668
349;3.069;-2.76E-08;-1.494
350;3.069;-2.76E-08;-0.62131
351;3.069;-2.76E-08;0.25142
352;3.069;-2.76E-08;1.1241
353;-3.069;-2.76E-08;-8.4759
354;-3.069;-2.76E-08;-7.6031
355;-3.069;-2.76E-08;-6.7304
356;-3.069;-2.76E-08;-5.8577
357;-3.069;-2.76E-08;-4.9849
358;-3.069;-2.76E-08;-4.1122
359;-3.069;-2.76E-08;-3.2395
360;-3.069;-2.76E-08;-2.3668
361;-3.069;-2.76E-08;-1.494
362;-3.069;-2.76E-08;-0.62131
363;-3.069;-2.76E-08;0.25142
364;-3.069;-2.76E-08;1.1241
365;-2.6972;1.4643;-7.6031
366;-1.9797;2.3451;-7.6031
367;-1.0027;2.9006;-7.6031
368;-0.51381;3.0257;-7.6031
369;-1.10E-02;3.069;-7.6031
370;0.48952;3.0297;-7.6031
371;0.97454;2.9102;-7.6031
372;1.4337;2.7135;-7.6031
373;2.3229;2.0058;-7.6031
374;2.8892;1.0351;-7.6031
375;-2.7291;1.4039;-6.7304
376;-2.0512;2.2828;-6.7304
377;-1.1152;2.8592;-6.7304
378;-0.59486;3.0108;-6.7304
379;-5.59E-02;3.0685;-6.7304
380;0.48245;3.0308;-6.7304
381;1.0037;2.9002;-6.7304
382;1.4942;2.6807;-6.7304
383;2.3505;1.9734;-6.7304
384;2.8951;1.0185;-6.7304
385;-2.7596;1.3429;-5.8577
386;-2.1208;2.2183;-5.8577
387;-1.226;2.8135;-5.8577
388;-0.67547;2.9937;-5.8577
389;-0.10083;3.0673;-5.8577
390;0.47538;3.032;-5.8577
391;1.0328;2.89;-5.8577
392;1.554;2.6465;-5.8577
393;2.3776;1.9406;-5.8577
394;2.9008;1.0019;-5.8577
395;-2.7888;1.2811;-4.9849
396;-2.1884;2.1517;-4.9849
397;-1.335;2.7634;-4.9849
398;-0.7556;2.9745;-4.9849
399;-0.1457;3.0655;-4.9849
400;0.46831;3.0331;-4.9849
401;1.0618;2.8795;-4.9849
402;1.613;2.6109;-4.9849
403;2.4043;1.9074;-4.9849
404;2.9065;0.98532;-4.9849
405;-2.8166;1.2188;-4.1122
406;-2.2538;2.083;-4.1122
407;-1.4419;2.7092;-4.1122
408;-0.83519;2.9532;-4.1122
409;-0.19054;3.0631;-4.1122
410;0.46123;3.0341;-4.1122
411;1.0907;2.8686;-4.1122
412;1.6711;2.5741;-4.1122
413;2.4305;1.8739;-4.1122
414;2.9121;0.96867;-4.1122
415;-2.843;1.1558;-3.2395
416;-2.3172;2.0123;-3.2395
417;-1.5466;2.6508;-3.2395
418;-0.91417;2.9297;-3.2395
419;-0.23534;3.06;-3.2395
420;0.45415;3.0352;-3.2395
421;1.1195;2.8575;-3.2395
422;1.7285;2.536;-3.2395
423;2.4563;1.84;-3.2395
424;2.9176;0.95199;-3.2395
425;-2.868;1.0923;-2.3668
426;-2.3783;1.9397;-2.3668
427;-1.649;2.5884;-2.3668
428;-0.99249;2.9041;-2.3668
429;-0.28009;3.0562;-2.3668
430;0.44707;3.0363;-2.3668
431;1.1482;2.8461;-2.3668
432;1.7849;2.4966;-2.3668
433;2.4815;1.8057;-2.3668
434;2.923;0.93528;-2.3668
435;-2.8916;1.0282;-1.494
436;-2.4371;1.8653;-1.494
437;-1.7488;2.522;-1.494
438;-1.0701;2.8764;-1.494
439;-0.32479;3.0518;-1.494
440;0.43998;3.0373;-1.494
441;1.1767;2.8345;-1.494
442;1.8405;2.4559;-1.494
443;2.5064;1.7711;-1.494
