Node Number;X Location (m);Y Location (m);Z Location (m)
204;28.595;-0.90749;8.
205;2.451;-17.299;8.
206;2.12E-03;-3.;8.
207;-0.94007;-28.489;8.
208;-17.854;-24.108;8.
209;17.854;-24.108;8.
210;0.94007;-28.489;8.
211;3.;-7.35E-12;0.88889
212;3.;-7.35E-12;17.778
213;3.;-7.35E-12;26.667
214;3.;-7.35E-12;35.556
215;3.;-7.35E-12;44.444
216;3.;-7.35E-12;53.333
217;3.;-7.35E-12;62.222
218;3.;-7.35E-12;71.111
219;-3.;-3.63E-11;0.88889
220;-3.;-3.63E-11;17.778
221;-3.;-3.63E-11;26.667
222;-3.;-3.63E-11;35.556
223;-3.;-3.63E-11;44.444
224;-3.;-3.63E-11;53.333
225;-3.;-3.63E-11;62.222
226;-3.;-3.63E-11;71.111
227;28.532;0.92705;71.111
228;24.271;17.634;71.111
229;17.634;24.271;71.111
230;0.92705;28.532;71.111
231;-4.82E-12;3.;71.111
232;-0.92705;28.532;71.111
233;-17.634;24.271;71.111
234;-24.271;17.634;71.111
235;-28.532;0.92705;71.111
236;28.532;0.92705;62.222
237;24.271;17.634;62.222
238;17.634;24.271;62.222
239;0.92705;28.532;62.222
240;-4.82E-12;3.;62.222
241;-0.92705;28.532;62.222
242;-17.634;24.271;62.222
243;-24.271;17.634;62.222
244;-28.532;0.92705;62.222
245;28.532;0.92705;53.333
246;24.271;17.634;53.333
247;17.634;24.271;53.333
248;0.92705;28.532;53.333
249;-4.82E-12;3.;53.333
250;-0.92705;28.532;53.333
251;-17.634;24.271;53.333
252;-24.271;17.634;53.333
253;-28.532;0.92705;53.333
254;28.532;0.92705;44.444
255;24.271;17.634;44.444
256;17.634;24.271;44.444
257;0.92705;28.532;44.444
258;-4.82E-12;3.;44.444
259;-0.92705;28.532;44.444
260;-17.634;24.271;44.444
261;-24.271;17.634;44.444
262;-28.532;0.92705;44.444
263;28.532;0.92705;35.556
264;24.271;17.634;35.556
265;17.634;24.271;35.556
266;0.92705;28.532;35.556
267;-4.82E-12;3.;35.556
268;-0.92705;28.532;35.556
269;-17.634;24.271;35.556
270;-24.271;17.634;35.556
271;-28.532;0.92705;35.556
272;28.532;0.92705;26.667
273;24.271;17.634;26.667
274;17.634;24.271;26.667
275;0.92705;28.532;26.667
276;-4.82E-12;3.;26.667
277;-0.92705;28.532;26.667
278;-17.634;24.271;26.667
279;-24.271;17.634;26.667
280;-28.532;0.92705;26.667
281;28.532;0.92705;17.778
282;24.271;17.634;17.778
283;17.634;24.271;17.778
284;0.92705;28.532;17.778
285;-4.82E-12;3.;17.778
286;-0.92705;28.532;17.778
287;-17.634;24.271;17.778
288;-24.271;17.634;17.778
289;-28.532;0.92705;17.778
290;28.532;0.92705;0.88889
291;24.271;17.634;0.88889
292;17.634;24.271;0.88889
293;0.92705;28.532;0.88889
294;-4.82E-12;3.;0.88889
295;-0.92705;28.532;0.88889
296;-17.634;24.271;0.88889
297;-24.271;17.634;0.88889
298;-28.532;0.92705;0.88889
299;28.532;0.92705;0.
300;24.271;17.634;0.
301;17.634;24.271;0.
302;0.92705;28.532;0.
303;-1.08E-11;3.;0.
304;-0.92705;28.532;0.
305;-17.634;24.271;0.
306;-24.271;17.634;0.
307;-28.532;0.92705;0.
308;-28.532;0.92705;8.
309;-24.271;17.634;8.
310;-17.634;24.271;8.
311;-0.92705;28.532;8.
312;-1.08E-11;3.;8.
313;0.92705;28.532;8.
314;17.634;24.271;8.
315;24.271;17.634;8.
316;28.532;0.92705;8.
317;18.006;-25.046;9.
318;0.95277;-29.358;9.
319;24.195;-17.729;9.
320;1.06E-03;-30.574;9.
321;-0.95276;-29.358;9.
322;-18.006;-25.046;9.
323;-24.195;-17.729;9.
324;28.449;-0.95091;9.
325;29.995;-3.83E+02;9.
326;-28.449;-0.95091;9.
327;-29.995;-3.83E+02;9.
328;-28.623;0.89782;9.
329;-24.404;17.447;9.
330;-17.757;2.418;9.
331;-0.93433;28.508;9.
332;-8.28E-03;3.;9.
333;0.93433;28.508;9.
334;17.757;2.418;9.
335;24.404;17.447;9.
336;28.623;0.89782;9.
337;3.89E+02;-11.619;0.
338;-1.49E+02;-0.64906;0.
339;-0.45287;-0.56934;0.
340;-0.26731;-0.94252;0.
341;0.78274;-0.61933;0.
342;13.433;-11.371;0.
343;0.79532;-10.698;0.
344;11.096;-0.68249;0.
345;16.495;2.30E+02;0.
346;12.649;-0.20211;0.
347;12.895;0.25652;0.
348;0.85883;0.17327;0.
349;15.158;10.305;0.
350;11.394;10.353;0.
351;13.066;0.69457;0.
352;0.92254;-0.38708;0.
353;0.36159;-0.38762;0.
354;0.51648;-1.17E+02;0.
355;0.62199;0.95426;0.
356;0.85436;0.89772;0.
357;10.215;0.55695;0.
358;0.59082;0.4737;0.
359;-18.223;0.8826;0.
360;-14.102;1.408;0.
361;-13.695;0.91194;0.
362;-20.318;14.732;0.
363;-20.501;0.20732;0.
364;-16.782;0.39217;0.
365;-24.305;0.7546;0.
366;-20.445;-0.55847;0.
367;-17.788;-0.29197;0.
368;-25.462;-8.38E+01;0.
369;-19.641;-12.217;0.
370;-16.942;-10.121;0.
371;-24.249;-0.93823;0.
372;-16.532;-16.375;0.
373;-21.793;-16.287;0.
374;-10.715;-18.815;0.
375;-13.832;-14.278;0.
376;-15.691;-2.104;0.
377;-0.45692;-20.367;0.
378;-0.80953;-16.621;0.
379;-0.84764;-24.177;0.
380;0.21551;-20.998;0.
381;-0.20897;-18.148;0.
382;-7.28E+02;-25.457;0.
383;0.83939;-19.841;0.
384;0.40584;-17.927;0.
385;0.75184;-24.808;0.
386;14.094;-16.096;0.
387;0.86147;-15.423;0.
388;14.327;-21.434;0.
389;18.098;-0.98173;0.
390;20.719;-15.614;0.
391;19.608;-0.30198;0.
392;15.762;-0.52711;0.
393;23.781;-0.76552;0.
394;19.989;0.28841;0.
395;25.093;1.31E-01;0.
396;18.483;0.8578;0.
397;1.639;0.52191;0.
398;24.162;0.75192;0.
399;14.576;13.838;0.
400;20.722;14.511;0.
401;0.91618;1.774;0.
402;10.812;13.887;0.
403;14.806;2.028;0.
404;0.32629;19.689;0.
405;0.56707;15.904;0.
406;0.78076;23.862;0.
407;-0.299;19.689;0.
408;5.42e-002;16.123;0.
409;9.06E+01;25.093;0.
410;-0.89996;17.761;0.
411;-0.48089;15.247;0.
412;-0.77159;23.862;0.
413;-0.99659;13.235;0.
414;-14.736;2.03;0.
415;-12.255;0.42151;0.
416;-0.9559;0.82746;0.
417;-0.83687;0.36834;0.
418;-14.069;-0.10712;0.
419;-10.485;-4.48E+02;0.
420;-14.284;-0.7456;0.
421;-11.701;-0.58122;0.
422;-11.212;-12.084;0.
423;-0.57751;10.722;0.
424;-0.49444;0.70259;0.
425;-0.12768;11.682;0.
426;-0.26257;0.76072;0.
427;0.29498;12.339;0.
428;0.2638;0.75332;0.
429;-0.86295;-1.044;0.
430;-0.56158;-14.402;0.
431;0.73205;12.051;0.
432;0.42792;-13.509;0.
433;0.37417;-0.83807;0.
434;-1.86E+02;-15.077;0.
435;-0.22189;-0.17774;0.
436;-2.60E+02;-3.01E+02;0.
437;-0.37541;0.24347;0.
438;-0.65989;-9.80E+02;0.
439;0.12891;0.34581;0.
440;-0.81177;-0.51895;0.
441;-0.62622;-0.89213;0.
442;-0.32486;-12.883;0.
443;-0.31674;-13.492;10.
444;-1.13E+02;-15.647;10.
445;-0.548;-14.984;10.
446;-0.2025;-18.776;10.
447;-0.62045;-0.95692;10.
448;-0.26411;-10.081;10.
449;-0.80767;-0.57947;10.
450;-0.65945;-0.15159;10.
451;-10.453;-9.75E+02;10.
452;-0.45133;-0.6307;10.
453;-0.85171;-11.061;10.
454;-11.628;-0.64278;10.
455;0.1205;0.29958;10.
456;0.25195;0.71383;10.
457;0.57797;0.42959;10.
458;0.50705;-6.38E+02;10.
459;0.84559;0.12419;10.
460;-0.37921;0.19555;10.
461;-3.10E+02;-8.26E+02;10.
462;-0.27028;0.72135;10.
463;-0.49995;0.66226;10.
464;-0.22447;-0.23263;10.
465;-0.83772;0.32248;10.
466;0.37331;-0.89878;10.
467;0.35558;-0.44597;10.
468;-1.64E+02;-0.71174;10.
469;1.625;0.47859;10.
470;10.048;0.51421;10.
471;12.904;0.65411;10.
472;12.724;0.20881;10.
473;15.613;-0.58778;10.
474;0.91205;-0.44542;10.
475;12.506;-0.2574;10.
476;10.994;-0.74572;10.
477;0.43103;-14.107;10.
478;0.40327;-18.564;10.
479;4.14E+01;-12.237;10.
480;0.85364;-1.602;10.
481;0.79245;-11.343;10.
482;0.71605;11.731;10.
483;1.072;13.597;10.
484;0.83917;0.86062;10.
485;11.248;10.005;10.
486;0.28009;12.023;10.
487;0.55537;15.647;10.
488;0.60612;0.91809;10.
489;-11.057;-12.707;10.
490;-0.79507;-17.239;10.
491;-0.13883;11.356;10.
492;4.03E+02;15.871;10.
493;-0.58451;1.038;10.
494;-0.49129;1.498;10.
495;-0.95846;0.7892;10.
496;-10.017;12.935;10.
497;-14.168;-0.80735;10.
498;-13.649;-14.869;10.
499;-16.786;-10.779;10.
500;-14.004;-0.16084;10.
501;-17.683;-0.34875;10.
502;-12.235;0.37654;10.
503;-16.725;0.34671;10.
504;-13.693;0.87507;10.
505;-0.90848;17.535;10.
506;-14.125;13.793;10.
507;-14.886;20.085;10.
508;-0.31212;19.495;10.
509;-0.78467;23.737;10.
510;0.31562;19.495;10.
511;1.75E+01;2.5;10.
512;0.91129;17.514;10.
513;0.78467;23.737;10.
514;14.542;13.548;10.
515;14.914;20.064;10.
516;18.416;0.82003;10.
517;15.071;0.99555;10.
518;20.837;14.158;10.
519;19.845;0.24123;10.
520;24.206;0.70149;10.
521;19.426;-0.35892;10.
522;16.319;-2.85E+02;10.
523;24.992;-6.42E+02;10.
524;17.931;-10.425;10.
525;23.582;-0.83013;10.
526;13.923;-16.681;10.
527;13.312;-12.005;10.
528;20.441;-16.175;10.
529;0.82588;-20.477;10.
530;14.503;-2.258;10.
531;0.21204;-21.693;10.
532;0.76671;-26.008;10.
533;-0.44957;-2.103;10.
534;-7.16E+02;-26.376;10.
535;-10.543;-1.94;10.
536;-0.86097;-25.345;10.
537;-16.278;-16.928;10.
538;-15.844;-22.165;10.
539;-19.415;-12.838;10.
540;-21.454;-16.836;10.
541;-20.302;-0.61926;10.
542;-24.053;-10.053;10.
543;-20.404;0.1588;10.
544;-25.396;-0.1494;10.
545;-18.182;0.84524;10.
546;-24.361;0.70421;10.
547;-20.448;14.383;10.
548;0.77472;-0.68152;10.
